Nom_commune;Coordonnees_gps;Departement
ST ESTEVE;42.7151122221, 2.84611914185;PYRENEES ORIENTALES
MOULON;48.018833927, 2.59545812326;LOIRET
ARRIGAS;43.9902038605, 3.48117676072;GARD
BRECH;47.709389623, -3.02425370135;MORBIHAN
BEAULIEU;45.4651616363, 2.52086997748;CANTAL
ST CHELY D AUBRAC;44.5918935634, 2.94672559934;AVEYRON
WINTZENBACH;48.9320980019, 8.10430684085;BAS RHIN
TILLOY LES HERMAVILLE;50.3286181773, 2.55390925943;PAS DE CALAIS
ROMPON;44.7787195427, 4.73009856646;ARDECHE
HERPY L ARLESIENNE;49.5259538637, 4.18823352667;ARDENNES
BRANNAY;48.2273397765, 3.12512459737;YONNE
PASSY;45.9545838758, 6.74056895873;HAUTE SAVOIE
WARGNIES;50.0364524864, 2.25088888285;SOMME
CHIRAC BELLEVUE;45.4528560123, 2.30803671856;CORREZE
PRADES SUR VERNAZOBRE;43.4587254561, 2.97637908047;HERAULT
ST CIRQ;44.9360696288, 0.967920705814;DORDOGNE
CERRE LES NOROY;47.5876572112, 6.31727829478;HAUTE SAONE
BRANDEVILLE;49.3922832005, 5.30458987886;MEUSE
LA FEUILLADE;45.1156060328, 1.39759185904;DORDOGNE
FAMECHON;49.7670124378, 2.03228812807;SOMME
FRAISSE;44.9336348822, 0.303365596651;DORDOGNE
GAJA LA SELVE;43.2002672406, 1.88364731098;AUDE
DALLET;45.7717717007, 3.2385610139;PUY DE DOME
MAXEY SUR MEUSE;48.4490229482, 5.71682995945;VOSGES
QUEYSSAC;44.9151488173, 0.532361895474;DORDOGNE
HALSTROFF;49.3875730574, 6.47720074368;MOSELLE
LERNE;47.1396272073, 0.110609738021;INDRE ET LOIR
LANCOME;47.652802696, 1.12724958173;LOIR ET CHER
CHIGNY;49.9298846139, 3.77489645427;AISNE
BUXIERES SOUS MONTAIGUT;46.2017165035, 2.8370551426;PUY DE DOME
BERTHENAY;47.3604120561, 0.525356323149;INDRE ET LOIR
GOURHEL;47.9391748838, -2.35828875195;MORBIHAN
NEPVANT;49.5368969307, 5.22074045753;MEUSE
RAUVILLE LA BIGOT;49.5174637964, -1.66546170195;MANCHE
ST CYR;46.7134974842, 0.476705992673;VIENNE
AIGUEBELLE;45.5328984806, 6.30449738468;SAVOIE
ST MARS D OUTILLE;47.8696754844, 0.342695139915;SARTHE
ROSIERES EN SANTERRE;49.8180169007, 2.70364687243;SOMME
OUAGNE;47.4020463013, 3.49846601652;NIEVRE
ST SORNIN LEULAC;46.1961790714, 1.29766583914;HAUTE VIENNE
BUSSY LA PESLE;47.3566273735, 4.71361342126;COTE D OR
BREBAN;48.5794229708, 4.39201727027;MARNE
GUILLAC;47.9238724593, -2.47986722223;MORBIHAN
COLLOBRIERES;43.2414148175, 6.34032184648;VAR
PORT LESNEY;46.9984173967, 5.81915102369;JURA
LA CHAPELLE DU MONT DE FRANCE;46.3814725305, 4.54090737962;SAONE ET LOIRE
LESCHES EN DIOIS;44.5936637073, 5.51737877593;DROME
LE CHATELET EN BRIE;48.5016068676, 2.80339101971;SEINE ET MARNE
WANCOURT;50.256058557, 2.85524996324;PAS DE CALAIS
LA FORET LE ROI;48.4755183328, 2.0468515284;ESSONNE
MORLANCOURT;49.948084747, 2.6473273905;SOMME
LOREUX;47.4034848676, 1.84312740656;LOIR ET CHER
OLENDON;48.9685764486, -0.173141593521;CALVADOS
LANGE;47.0739529202, 1.50748224415;INDRE
LIMON;46.9651256644, 3.38472580613;NIEVRE
BOURNAINVILLE FAVEROLLES;49.122899642, 0.50099426931;EURE
ST GERMAIN DU PUY;47.1076641241, 2.47889343421;CHER
THIEULLOY LA VILLE;49.7433577525, 1.9296286879;SOMME
SAVIGNAC LES ORMEAUX;42.6824950812, 1.77944672349;ARIEGE
LA CONDAMINE CHATELARD;44.4627686721, 6.69629170403;ALPES DE HAUTE PROVENCE
FRONSAC;44.9220632004, -0.279859692474;GIRONDE
MOREY ST DENIS;47.1999076803, 4.96207733314;COTE D OR
FONCHES FONCHETTE;49.7761107379, 2.82157926223;SOMME
TREGLONOU;48.5473507088, -4.54852998212;FINISTERE
GRIMAUD;43.2820282501, 6.53303224114;VAR
HERSIN COUPIGNY;50.4455468429, 2.64235771503;PAS DE CALAIS
ST HILAIRE DE LUSIGNAN;44.2477536964, 0.53261592446;LOT ET GARONNE
