Nom_commune;Coordonnees_gps;Departement
ST DENIS DE MAILLOC;49.0982778471, 0.314133133909;CALVADOS
COLOMBEY LES BELLES;48.5163026509, 5.89559203198;MEURTHE ET MOSELLE
NINVILLE;48.0718513418, 5.43848531398;HAUTE MARNE
VILLE SUR TOURBE;49.1979765872, 4.78591314557;MARNE
ST ROMANS DES CHAMPS;46.2026203924, -0.348997865901;DEUX SEVRES
TRAVES;47.6060894924, 5.96272642453;HAUTE SAONE
LONG;50.0414163868, 1.9882949224;SOMME
GLOS SUR RISLE;49.2723717396, 0.68457116182;EURE
RUNGIS;48.7494821504, 2.35281832827;VAL DE MARNE
TREFFORT;44.9030153722, 5.6617115745;ISERE
BRENTHONNE;46.2692786912, 6.39437723207;HAUTE SAVOIE
TREOUERGAT;48.495243067, -4.60294644618;FINISTERE
LINSDORF;47.5150509459, 7.40642698338;HAUT RHIN
CHAMPENARD;49.1071396766, 1.32806618446;EURE
SCHLEITHAL;48.9866877882, 8.03245786047;BAS RHIN
VAILLY;46.2936006568, 6.55263148753;HAUTE SAVOIE
BOLLEVILLE;49.6028335205, 0.563968438854;SEINE MARITIME
LA MOTTE DU CAIRE;44.3408705676, 6.03052669324;ALPES DE HAUTE PROVENCE
MARON;48.6577116838, 6.05780726242;MEURTHE ET MOSELLE
ANNEVILLE SUR SCIE;49.8386907699, 1.09303231826;SEINE MARITIME
RAHON;46.9938029264, 5.47383936755;JURA
GALFINGUE;47.7038424637, 7.22128198778;HAUT RHIN
LE VIEIL EVREUX;49.0036162938, 1.21290711297;EURE
CARPIQUET;49.1866163191, -0.451124708669;CALVADOS
PERROU;48.5760698377, -0.548505109021;ORNE
CEPOY;48.0508863567, 2.74010416872;LOIRET
MALEVILLE;44.3999943584, 2.10361790019;AVEYRON
ST TRINIT;44.0960361919, 5.4788587888;VAUCLUSE
CERZAT;45.1591392099, 3.47227025846;HAUTE LOIRE
PACE;48.152548244, -1.77716643787;ILE ET VILAINE
ST ROMAIN ET ST CLEMENT;45.4243804635, 0.872078702147;DORDOGNE
CABIDOS;43.5396790369, -0.463748067374;PYRENEES ATLANTIQUES
AUVERS;49.3000438595, -1.32395939229;MANCHE
HONNECHY;50.0677939071, 3.48120463527;NORD
AMEUVELLE;47.9496470575, 5.95257004647;VOSGES
BERNEUIL;50.088214456, 2.17360293131;SOMME
VERGNE;46.0698805334, -0.514998278543;CHARENTE MARITIME
CAPIAN;44.716585777, -0.327839975905;GIRONDE
TOUQUIN;48.7330599565, 3.02878980311;SEINE ET MARNE
ST CHRISTOPHE SUR CONDE;49.2853748479, 0.600693146112;EURE
BEZE;47.4660482708, 5.27867233051;COTE D OR
CHANOUSSE;44.3646760156, 5.66013922855;HAUTES ALPES
TREFLEZ;48.6265878475, -4.25742484616;FINISTERE
BALAN;49.6897594511, 4.96358286973;ARDENNES
BRIGNANCOURT;49.1395537337, 1.94352100236;VAL D OISE
PINSAC;44.8610534659, 1.51873154289;LOT
LA CHAUSSEE ST VICTOR;47.6111559006, 1.35763609326;LOIR ET CHER
DAGNEUX;45.8531616918, 5.07289166803;AIN
BRANSCOURT;49.2711872526, 3.82154036192;MARNE
TOURNEVILLE;49.0948484016, 1.10594742714;EURE
CONNANGLES;45.2988796944, 3.64574676641;HAUTE LOIRE
CAZAVET;42.9980540032, 1.03529654774;ARIEGE
MONTJOI;44.2043392824, 0.930124213553;TARN ET GARONNE
AULON;43.190035341, 0.813417936999;HAUTE GARONNE
GOUSSAINCOURT;48.4821493618, 5.67287004446;MEUSE
MONS EN PEVELE;50.4819644352, 3.10317921728;NORD
TRELINS;45.7251404881, 4.00078301382;LOIRE
PIERREFEU;43.8851912789, 7.0710081371;ALPES MARITIMES
COCHEREL;49.018408712, 3.10665091541;SEINE ET MARNE
YPREVILLE BIVILLE;49.6944640581, 0.530994381028;SEINE MARITIME
MESPLES;46.4272621161, 2.36441867083;ALLIER
ST ROMAIN DE MONPAZIER;44.7199482027, 0.882032615949;DORDOGNE
GRAND BRASSAC;45.3001059626, 0.485790051085;DORDOGNE
LUZARCHES;49.1151211125, 2.44082640954;VAL D OISE
MELAY;47.8934170946, 5.81934321302;HAUTE MARNE
AILLEVILLERS ET LYAUMONT;47.9382332806, 6.33247986136;HAUTE SAONE
MAZERES DE NESTE;43.0760786715, 0.540392902484;HAUTES PYRENEES
LACHAPELLE SOUS AUBENAS;44.5622616562, 4.35906947518;ARDECHE
BEDOIN;44.1374624096, 5.23446005284;VAUCLUSE
ROM;46.3034951181, 0.1238295004;DEUX SEVRES
ST MICHEL SUR LOIRE;47.3178105636, 0.32657913623;INDRE ET LOIR
ROUEZ;48.1376844826, -0.119954104642;SARTHE
ST JEAN DE LA CROIX;47.4108613803, -0.588351617749;MAINE ET LOIRE
YGOS ST SATURNIN;43.9957133184, -0.720748822032;LANDES
TRESCLEOUX;44.3549508677, 5.71825730245;HAUTES ALPES
GOLLEVILLE;49.4387094084, -1.51369309832;MANCHE
LAVERNOSE LACASSE;43.3913118725, 1.24635316993;HAUTE GARONNE
COLOMBIERS;46.7799541393, 0.437112922808;VIENNE
VILLERS LE LAC;47.0702797882, 6.68940922893;DOUBS
DOMESSARGUES;43.9732979744, 4.16569285159;GARD
ST SIMON DE BORDES;45.410900172, -0.452211214542;CHARENTE MARITIME
THIONNE;46.4118104465, 3.57326147664;ALLIER
LA CHAPELLE RAINSOUIN;48.0968923633, -0.527783702085;MAYENNE
FOUDAY;48.420716241, 7.19048475836;BAS RHIN
ST JEAN LIGOURE;45.6906508638, 1.30783401393;HAUTE VIENNE
BEMECOURT;48.8432221726, 0.848460496719;EURE
GREVILLERS;50.1018030363, 2.7985377862;PAS DE CALAIS
VIVIERS DU LAC;45.6502423808, 5.89790868543;SAVOIE
BASSE HAM;49.3759973873, 6.23863474222;MOSELLE
LANDANGE;48.6688126564, 6.96056023007;MOSELLE
STE LUNAISE;46.914297356, 2.35380751159;CHER
CARSPACH;47.6224935398, 7.19502984795;HAUT RHIN
GOULET;48.7360749427, -0.0897289866447;ORNE
CHARCHIGNE;48.4142784855, -0.407005787666;MAYENNE
SAUVIAT;45.7189041361, 3.55697409571;PUY DE DOME
FARGES LES MACON;46.5117669109, 4.9115948195;SAONE ET LOIRE
LE MESNIL VIGOT;49.1615348173, -1.27754584093;MANCHE
COMPREIGNAC;45.9974067585, 1.28161840012;HAUTE VIENNE
JOU SOUS MONJOU;44.9403094709, 2.66250496336;CANTAL
RIGAUD;43.9929332886, 6.97505083413;ALPES MARITIMES
SANCERGUES;47.1626367318, 2.89993573993;CHER
TREMBLOIS LES ROCROI;49.8448912084, 4.50057688801;ARDENNES
NOIRCOURT;49.6691648747, 4.09433809595;AISNE
ST AMADOU;43.1112959391, 1.71491289388;ARIEGE
WAVRANS SUR TERNOISE;50.409386121, 2.2840999024;PAS DE CALAIS
LAIGNELET;48.379896716, -1.152249408;ILE ET VILAINE
OTHIS;49.082725931, 2.65422672381;SEINE ET MARNE
VICDESSOS;42.7733893717, 1.51114862986;ARIEGE
GRAZAC;43.8499819976, 1.64948464034;TARN
MONTBOUCHER SUR JABRON;44.5542986445, 4.8150831884;DROME
ST GEREON;47.3707222612, -1.20922739659;LOIRE ATLANTIQUE
PAYSSOUS;43.0343405914, 0.717177002702;HAUTE GARONNE
ST CYR EN BOURG;47.1946036975, -0.0504196154812;MAINE ET LOIRE
ABLANCOURT;48.8103417636, 4.53084843791;MARNE
BAGNOLET;48.8690836308, 2.42274096688;SEINE SAINT DENIS
PELLEFIGUE;43.4789558709, 0.79093287265;GERS
MASSIEUX;45.9094016817, 4.82779660051;AIN
CHILLY;45.9892543857, 5.95663892885;HAUTE SAVOIE
ST ROME DE DOLAN;44.2694614271, 3.19482557519;LOZERE
THOISSEY;46.1700943481, 4.79387095814;AIN
PRUNIERES;44.5433412641, 6.33640431241;HAUTES ALPES
JARSY;45.669075325, 6.21321879581;SAVOIE
GERMIGNY;47.9971165696, 3.79141682909;YONNE
LACOUGOTTE CADOUL;43.6418245193, 1.82103741651;TARN
BERTIGNAT;45.6174754909, 3.69083488933;PUY DE DOME
MONTS SUR GUESNES;46.9128254124, 0.193721339579;VIENNE
BASCOUS;43.7945341833, 0.136250344256;GERS
BOHARS;48.4318157776, -4.52163441138;FINISTERE
ST EUGENE;49.0155450781, 3.51721331428;AISNE
LA BOUILLIE;48.583703743, -2.44206037787;COTES D ARMOR
AGNEAUX;49.1154902114, -1.12991373053;MANCHE
MEZIERES SUR SEINE;48.953428636, 1.78287413415;YVELINES
MONTAUDIN;48.3809154323, -0.97983082547;MAYENNE
CHAMARANDES CHOIGNES;48.1022459554, 5.18945345266;HAUTE MARNE
ALLONDANS;47.5223475188, 6.75133390116;DOUBS
ST PARDOUX DU BREUIL;44.4713724451, 0.199107066412;LOT ET GARONNE
BOIS STE MARIE;46.3321423377, 4.35330322456;SAONE ET LOIRE
VALOGNES;49.5128276096, -1.47383499973;MANCHE
LAVANGEOT;47.1511519623, 5.60803139614;JURA
PRADINES;44.464606105, 1.38849304756;LOT
MOTREFF;48.2197857067, -3.56230710183;FINISTERE
FLIREY;48.8835595963, 5.85130889526;MEURTHE ET MOSELLE
MOULT;49.1127187184, -0.165293838791;CALVADOS
BILWISHEIM;48.7100680278, 7.66330058564;BAS RHIN
VILLEFRANCHE SUR MER;43.7122153121, 7.32225410533;ALPES MARITIMES
RODEMACK;49.4637445576, 6.24710550815;MOSELLE
ASCHERES LE MARCHE;48.1120145126, 2.01033081704;LOIRET
MANHOUE;48.8266822397, 6.34120837788;MOSELLE
RUY;45.590349924, 5.344319552;ISERE
THIAT;46.2745459798, 0.969728310358;HAUTE VIENNE
DENEE;47.3777256876, -0.609937724094;MAINE ET LOIRE
MONTASTRUC LA CONSEILLERE;43.7221234765, 1.58906433836;HAUTE GARONNE
NIBAS;50.0944816863, 1.58862291088;SOMME
PIED DE BORNE;44.4805501734, 3.9685848144;LOZERE
ST ETIENNE DE CHOMEIL;45.3443815045, 2.61922055075;CANTAL
VILLE SUR ILLON;48.1703233891, 6.21202219636;VOSGES
MOGNENEINS;46.1446696076, 4.820110702;AIN
ST SORNIN LAVOLPS;45.3741557979, 1.37135404677;CORREZE
CHARMES EN L ANGLE;48.3590507638, 4.99706046425;HAUTE MARNE
ST PEY D ARMENS;44.8548887899, -0.118107156946;GIRONDE
GRUSON;50.5924125411, 3.21559274036;NORD
MONTLHERY;48.6422562554, 2.26812085232;ESSONNE
FAISSAULT;49.6089496847, 4.50566340675;ARDENNES
CHAMOUX;47.4594591063, 3.66121368079;YONNE
CASTELLET;43.834452269, 5.48116657241;VAUCLUSE
RIVOLET;46.0065781442, 4.58017136765;RHONE
ROMAGNIEU;45.5623995351, 5.63966032442;ISERE
WESTHOUSE;48.4068133604, 7.57239597333;BAS RHIN
EAUX PUISEAUX;48.1167185548, 3.88681885834;AUBE
GIAT;45.7993582147, 2.47685317783;PUY DE DOME
SALLES LAVALETTE;45.3880236045, 0.23183888353;CHARENTE
ARROS DE NAY;43.1823198948, -0.294968827477;PYRENEES ATLANTIQUES
LES LOGES MARCHIS;48.5342583933, -1.08560477293;MANCHE
LAILLY EN VAL;47.7471091867, 1.71487513333;LOIRET
OSMOY;48.8640021137, 1.71710528225;YVELINES
MONTARDIT;43.0695601112, 1.18585733449;ARIEGE
FAY LES NEMOURS;48.2276874711, 2.66412171118;SEINE ET MARNE
LAGESSE;48.01607316, 4.13301378601;AUBE
AUBIERE;45.7510558385, 3.126134119;PUY DE DOME
ROMAGNY SOUS ROUGEMONT;47.7186718403, 6.96636692216;TERRITOIRE DE BELFORT
FONTENAY TORCY;49.5683000437, 1.76602231488;OISE
THENNES;49.803442369, 2.47935954884;SOMME
FOUQUEVILLE;49.2221102, 0.963471124164;EURE
LANFROICOURT;48.8062964781, 6.31894910517;MEURTHE ET MOSELLE
ST DIZIER LA TOUR;46.1424414999, 2.15051617488;CREUSE
LEVIS ST NOM;48.7266074685, 1.93544246617;YVELINES
VILLECONIN;48.5019182614, 2.12813043077;ESSONNE
LES MENUS;48.5179857136, 0.93370273757;ORNE
ST GERMAIN DE LA RIVIERE;44.9440812975, -0.330721356984;GIRONDE
MONTPEYROUX;43.711158125, 3.50240555203;HERAULT
LA VILLE AUX CLERCS;47.9188435468, 1.09671366028;LOIR ET CHER
LA CHAPELLE HARENG;49.1113997335, 0.417172283408;EURE
BAYECOURT;48.2705788508, 6.49201473003;VOSGES
EPAGNY;49.471791053, 3.25384432012;AISNE
VERRIERES;45.5681032742, 3.03553806926;PUY DE DOME
GUEBLANGE LES DIEUZE;48.7774548457, 6.70140022635;MOSELLE
ST JEAN LA POTERIE;47.6453867213, -2.12256103473;MORBIHAN
VILLIERS ST BENOIT;47.7820741656, 3.22439167522;YONNE
CHAPELLE DES BOIS;46.606672007, 6.10775555362;DOUBS
BACOURT;48.92859453, 6.40632103762;MOSELLE
ST PIERRE LA BOURLHONNE;45.6770583346, 3.75497395692;PUY DE DOME
ORCIER;46.3132216712, 6.50123814187;HAUTE SAVOIE
LA BREOLE;44.4434662119, 6.28924750363;ALPES DE HAUTE PROVENCE
ROSULT;50.4521455969, 3.36243705958;NORD
MANDEVILLE;49.2154721135, 1.01292163537;EURE
FORGES;45.1588528226, 1.86527330178;CORREZE
AVIOTH;49.5663158104, 5.39049784871;MEUSE
LE MESNIL;49.3719294322, -1.69334065015;MANCHE
CHAMESOL;47.3463369115, 6.84435970249;DOUBS
COATASCORN;48.6698011801, -3.25550198639;COTES D ARMOR
VENESTANVILLE;49.793944609, 0.898683720517;SEINE MARITIME
LANNES;44.0233573212, 0.28577304123;LOT ET GARONNE
LA CHAPELLE MOULIERE;46.6458608784, 0.536909480756;VIENNE
CLERMONT;43.6485435994, -0.909862046514;LANDES
LA CHAPELLE AUX BROCS;45.1437616861, 1.62661152472;CORREZE
THEOULE SUR MER;43.4985345439, 6.92965248383;ALPES MARITIMES
TREFFENDEL;48.0313953352, -2.00818373637;ILE ET VILAINE
MANSAC;45.1603327019, 1.38223903365;CORREZE
GLANON;47.0397116967, 5.10712051482;COTE D OR
JUILLENAY;47.3613728511, 4.27210840782;COTE D OR
BELLEVIGNE EN LAYON;47.2592682331, -0.517923916545;MAINE ET LOIRE
HUPARLAC;44.7114576875, 2.75356213678;AVEYRON
CHARMES SUR L HERBASSE;45.1571098565, 5.0153381269;DROME
BOUVINCOURT EN VERMANDOIS;49.8908963311, 3.04415647131;SOMME
CHATEAUPONSAC;46.1311583678, 1.28041965042;HAUTE VIENNE
HOMMES;47.4233057028, 0.283302137982;INDRE ET LOIR
BOURNOIS;47.4883948482, 6.49638983869;DOUBS
LA CHAPELLE SUR ERDRE;47.3035629617, -1.56078596697;LOIRE ATLANTIQUE
RIVES D ANDAINE;48.5439558211, -0.466370828883;ORNE
PETTONVILLE;48.5301540618, 6.74371187817;MEURTHE ET MOSELLE
HABAS;43.5613150777, -0.932453413286;LANDES
BORDEAUX EN GATINAIS;48.1008672557, 2.53676265112;LOIRET
LA HAYE;49.2835142105, -1.53943989107;MANCHE
VILLERS LES NANCY;48.6616923324, 6.1287873364;MEURTHE ET MOSELLE
ARMENTIEUX;43.5222602975, 0.0972571471232;GERS
MARGERIDES;45.4564248108, 2.41560570074;CORREZE
FABAS;43.3119614436, 0.89311883238;HAUTE GARONNE
CHAMPIGNY;48.3042190014, 3.13177066366;YONNE
BIGNOUX;46.6032559543, 0.465724619773;VIENNE
CERESTE;43.8503161664, 5.58976926214;ALPES DE HAUTE PROVENCE
LAPOUTROIE;48.1597717593, 7.15907651893;HAUT RHIN
VRIGNE MEUSE;49.704875935, 4.83462850241;ARDENNES
TROUHAUT;47.3907339814, 4.76320070709;COTE D OR
GIZY;49.6104960814, 3.76786152197;AISNE
QUEVILLON;49.4150162102, 0.960559393697;SEINE MARITIME
LA MOUCHE;48.7848809108, -1.3527392237;MANCHE
TOUZAC;44.4962914866, 1.05945113782;LOT
SARRIAC BIGORRE;43.3885175976, 0.117612400735;HAUTES PYRENEES
RUBELLES;48.5646424027, 2.68024008996;SEINE ET MARNE
CROISMARE;48.6126708787, 6.57201025704;MEURTHE ET MOSELLE
MANZIAT;46.3643830585, 4.90242777155;AIN
LANVALLAY;48.451759809, -2.01053362747;COTES D ARMOR
MOREY;46.7915983107, 4.58680108045;SAONE ET LOIRE
MONTIGNY SUR ARMANCON;47.4400198641, 4.37366154755;COTE D OR
CONCEZE;45.3604032352, 1.33771562463;CORREZE
LA BOSSE;47.1440495943, 6.64869054384;DOUBS
CHOUZY SUR CISSE;47.5244470983, 1.23897400473;LOIR ET CHER
SERQUES;50.7907495973, 2.20166097242;PAS DE CALAIS
DOUELLE;44.4711707333, 1.35541899313;LOT
MAING;50.3036687499, 3.48802239874;NORD
BAFFIE;45.4768637549, 3.82808996896;PUY DE DOME
AVILLERS;48.3135159705, 6.20579594744;VOSGES
GRANDVAUX;46.5059558537, 4.26498354082;SAONE ET LOIRE
HUBY ST LEU;50.3946394663, 2.02454954867;PAS DE CALAIS
CUVILLERS;50.2219798771, 3.23832511042;NORD
MONT NOTRE DAME;49.2921467742, 3.5821661713;AISNE
MOUROUX;48.8270896205, 3.0508921508;SEINE ET MARNE
MONTREAL LES SOURCES;44.4006997235, 5.30675272365;DROME
BARGEMON;43.6333104555, 6.54244589208;VAR
ST GEORGES DU MESNIL;49.210758804, 0.56657576286;EURE
CHAMPS SUR TARENTAINE MARCHAL;45.4040107728, 2.60404165506;CANTAL
TOUFFAILLES;44.2755478135, 1.03805964935;TARN ET GARONNE
MONTVERDUN;45.712457493, 4.0770159438;LOIRE
TROUANS;48.6388005085, 4.24987699201;AUBE
VIGNEVIEILLE;43.0156409984, 2.53032066323;AUDE
ST HILAIRE DE LA NOAILLE;44.6031750494, 0.00530764786777;GIRONDE
ST MICHEL DE ST GEOIRS;45.3005100986, 5.35914982472;ISERE
LE VICEL;49.6325667145, -1.32055469764;MANCHE
FORTAN;47.8442944617, 0.914220715348;LOIR ET CHER
PLEDELIAC;48.46875643, -2.37175488421;COTES D ARMOR
LA BROSSE MONTCEAUX;48.3389431289, 3.02362728915;SEINE ET MARNE
DAMPIERRE;47.1650509305, 5.74228998802;JURA
VILLENAUXE LA GRANDE;48.5945779935, 3.5477753332;AUBE
ST JEAN D ARVEY;45.5971514646, 5.99104015513;SAVOIE
ST JULIEN;43.6999613716, 5.91499316614;VAR
MERICOURT;50.3992003873, 2.86819314424;PAS DE CALAIS
VERONNES;47.5355759344, 5.23841425575;COTE D OR
BLERANCOURT;49.5076223945, 3.15179502187;AISNE
SOUGE;47.7786428573, 0.725882199174;LOIR ET CHER
SAVIGNY LEVESCAULT;46.5289656905, 0.477909234429;VIENNE
BRUYS;49.2621681637, 3.56863439754;AISNE
SAUVETERRE DE BEARN;43.4115819423, -0.931810105485;PYRENEES ATLANTIQUES
OUDON;47.3554034497, -1.27120259646;LOIRE ATLANTIQUE
TRAUSSE;43.318218657, 2.56855106815;AUDE
PLAINE HAUTE;48.4435359708, -2.85882396738;COTES D ARMOR
BREITENBACH;48.374509707, 7.28708160963;BAS RHIN
PAILLET;44.6854994592, -0.361810561695;GIRONDE
EMBRY;50.4961583161, 1.95703731112;PAS DE CALAIS
VILLERS GRELOT;47.3615500448, 6.23513809301;DOUBS
GAGNAC SUR GARONNE;43.7075932093, 1.36359468155;HAUTE GARONNE
THIVILLE;48.0192686469, 1.36596589142;EURE ET LOIR
COURTEMONT VARENNES;49.0715288855, 3.54168079771;AISNE
BAY SUR AUBE;47.8238443502, 5.06047731738;HAUTE MARNE
GESTAS;43.3529290484, -0.881977356619;PYRENEES ATLANTIQUES
LE LAC D ISSARLES;44.8233324216, 4.07465283031;ARDECHE
FERRIERES LES BOIS;47.2091232902, 5.80270382568;DOUBS
ANCINNES;48.3603390007, 0.173826931122;SARTHE
CANDRESSE;43.7108557763, -0.979606796213;LANDES
BONNEVILLE;50.0778725403, 2.26234835981;SOMME
BUZIGNARGUES;43.771599327, 3.99491070508;HERAULT
TROYON;49.0009733042, 5.48594007947;MEUSE
ANTIGNY LA VILLE;47.1012813081, 4.55975234629;COTE D OR
MONTEIGNET SUR L ANDELOT;46.1150007655, 3.24811283769;ALLIER
CHAMPS;46.0616676024, 3.09345321573;PUY DE DOME
CHITRY LES MINES;47.27098105, 3.66227184049;NIEVRE
THOMIREY;47.0875870318, 4.58687586309;COTE D OR
ST LEGER SOUS LA BUSSIERE;46.3114540312, 4.56276492134;SAONE ET LOIRE
OIGNIES;50.4644483399, 2.99306842451;PAS DE CALAIS
LES DEUX VILLES;49.6544288446, 5.23054948304;ARDENNES
ILE D HOUAT;47.3894319946, -2.96687516001;MORBIHAN
MARSEILLE 01;43.2999009436, 5.38227869795;BOUCHES DU RHONE
GOUX LES USIERS;46.9810184806, 6.29488743137;DOUBS
PONTIVY;48.0729953877, -2.97046592885;MORBIHAN
SAUSSENS;43.590855656, 1.72440998002;HAUTE GARONNE
VILLERS ROTIN;47.156020714, 5.40682525494;COTE D OR
ARRAST LARREBIEU;43.2856672915, -0.850375454846;PYRENEES ATLANTIQUES
ST ANDRE DE ROQUELONGUE;43.0927941425, 2.84905910088;AUDE
DONNEVILLE;43.4727663351, 1.55123674393;HAUTE GARONNE
PERIGNAC;45.6367129971, -0.459608407894;CHARENTE MARITIME
LUNAY;47.8098385704, 0.904566521301;LOIR ET CHER
LA CHAILLEUSE;46.5722801296, 5.52869424012;JURA
DINTEVILLE;48.0375731521, 4.80723999451;HAUTE MARNE
MIZERIEUX;45.790715516, 4.16562342856;LOIRE
MOUFLAINES;49.2445398768, 1.55531520317;EURE
CASTERON;43.9028241046, 0.868621810839;GERS
FOURMETOT;49.3782168182, 0.574020669603;EURE
REGNIERE ECLUSE;50.2869055108, 1.76835866685;SOMME
BIENVILLE LA PETITE;48.633628939, 6.5126118634;MEURTHE ET MOSELLE
ST ETIENNE LA THILLAYE;49.2916915945, 0.117829362713;CALVADOS
ST CRICQ VILLENEUVE;43.9004132095, -0.350052068781;LANDES
CORCELLE MIESLOT;47.3615588639, 6.18318655579;DOUBS
CERISY BULEUX;49.9731167582, 1.73718329436;SOMME
LES SALLES SUR VERDON;43.7670142156, 6.20652542725;VAR
VARIZE;48.082379258, 1.52561665156;EURE ET LOIR
MONTIGNY SUR LOING;48.3413324688, 2.75094860085;SEINE ET MARNE
POUILLY SUR LOIRE;47.2802139612, 2.98240910916;NIEVRE
COLMAR;48.1099405789, 7.38468690323;HAUT RHIN
HUNDSBACH;47.5983071682, 7.3366232805;HAUT RHIN
OUGNEY DOUVOT;47.319923277, 6.27540481731;DOUBS
TRAYES;46.6690393835, -0.48214510069;DEUX SEVRES
UGNOUAS;43.3421854183, 0.103951257526;HAUTES PYRENEES
TREBEDAN;48.4057639956, -2.16287110256;COTES D ARMOR
CHATELNEUF;45.6388781024, 3.97962390788;LOIRE
PLOEMEUR;47.7325584986, -3.44178815745;MORBIHAN
LE ROZIER;44.1953326945, 3.21846877697;LOZERE
ST PIERRE D ALVEY;45.6259001138, 5.73939754416;SAVOIE
LE MONASTERE;44.331592843, 2.5872623881;AVEYRON
SOUVIGNE;46.358962328, -0.170685104329;DEUX SEVRES
DESTORD;48.2735636446, 6.6180368502;VOSGES
BOUBERS SUR CANCHE;50.2910196847, 2.236634893;PAS DE CALAIS
SAONNET;49.2721933862, -0.880981294808;CALVADOS
VIELLE TURSAN;43.6846565155, -0.463470521413;LANDES
AOUSTE SUR SYE;44.706679476, 5.05730534436;DROME
CLAMART;48.7964306792, 2.25474652922;HAUTS DE SEINE
MADRIAT;45.4353691789, 3.175781685;PUY DE DOME
LEOTOING;45.3528081691, 3.24026520445;HAUTE LOIRE
VEVY;46.6664465955, 5.66350133684;JURA
WAVRANS SUR L AA;50.6749530079, 2.13817752788;PAS DE CALAIS
SORBEY;49.4037288217, 5.58585055178;MEUSE
FORCELLES ST GORGON;48.45687195, 6.10382987514;MEURTHE ET MOSELLE
LABATIE D ANDAURE;45.0327655678, 4.49525714027;ARDECHE
QUEVEN;47.7841865998, -3.41957717053;MORBIHAN
FELINES;45.2648012481, 3.7529763308;HAUTE LOIRE
POUSSY LA CAMPAGNE;49.0788966211, -0.231130670136;CALVADOS
TAURINYA;42.5592864302, 2.44208129657;PYRENEES ORIENTALES
GRAND CHAMP;47.760673333, -2.84786424904;MORBIHAN
QUERENAING;50.2848542839, 3.50823290442;NORD
HERRY;47.2284204871, 2.9415312436;CHER
TREILLES EN GATINAIS;48.0787762501, 2.66540887052;LOIRET
NEUVILLE DE POITOU;46.6823102624, 0.254645073675;VIENNE
LOCHIEU;45.9302479879, 5.7413126836;AIN
VILLERS SOUS FOUCARMONT;49.8254730877, 1.55839902863;SEINE MARITIME
CONFLANS SUR ANILLE;47.9722293803, 0.726834150431;SARTHE
VILLERS SOUS AILLY;50.0624746155, 2.01779325981;SOMME
BELLOY EN SANTERRE;49.8846472208, 2.85995670033;SOMME
COUR CHEVERNY;47.5102298859, 1.4769737233;LOIR ET CHER
ROEULX;50.3127229733, 3.32813430468;NORD
MUHLBACH SUR BRUCHE;48.5125214509, 7.31212371742;BAS RHIN
ST BENIGNE;46.4519173207, 4.95309825903;AIN
EMAGNY;47.3039067497, 5.86864846171;DOUBS
JARD SUR MER;46.4246376808, -1.60014921643;VENDEE
LESGOR;43.8580379497, -0.908058109824;LANDES
PLUHERLIN;47.7150813893, -2.36982500415;MORBIHAN
NOYANT D ALLIER;46.4796760503, 3.11878325467;ALLIER
SEBECOURT;48.9755682262, 0.831363916278;EURE
ARREUX;49.8258643025, 4.6613050432;ARDENNES
ST BAUDELLE;48.2871604216, -0.650878906901;MAYENNE
ST PALAIS DU NE;45.5408910376, -0.28660127584;CHARENTE
CALMELS ET LE VIALA;43.95542291, 2.75841981289;AVEYRON
ETIVAL;46.4917221843, 5.79388173937;JURA
COLLIOURE;42.5130107325, 3.07254121467;PYRENEES ORIENTALES
PIETS PLASENCE MOUSTROU;43.527482932, -0.504651341722;PYRENEES ATLANTIQUES
REBERGUES;50.7533359346, 1.95267179122;PAS DE CALAIS
ORSANS;47.2505392758, 6.38074499024;DOUBS
ST MICHEL DE VAX;44.1085463735, 1.80659770648;TARN
LE KREMLIN BICETRE;48.809220102, 2.35657965243;VAL DE MARNE
MOURS;49.1303947491, 2.26415088892;VAL D OISE
PEYRISSAC;45.5060455559, 1.694117673;CORREZE
LAMOTHE CAPDEVILLE;44.0932619829, 1.38976564928;TARN ET GARONNE
RUAUDIN;47.9430727058, 0.266049763098;SARTHE
MUSSIG;48.2266111578, 7.51848492236;BAS RHIN
BONNEUIL MATOURS;46.6795805197, 0.566087021513;VIENNE
LEMBACH;49.0124690471, 7.768432419;BAS RHIN
STE MARIE AUX MINES;48.2285762223, 7.16926143657;HAUT RHIN
NENIGAN;43.3532194383, 0.708883307401;HAUTE GARONNE
DESERTINES;46.3569236858, 2.62735601895;ALLIER
MICHELBACH LE BAS;47.5936254129, 7.46476536443;HAUT RHIN
ESPINASSE;44.869517892, 2.93031023884;CANTAL
ST GAUDENS;43.1199260811, 0.726613564199;HAUTE GARONNE
AIGREMONT;48.9008380509, 2.0153630611;YVELINES
